subject,block,trial,time_gap,speed,braking_condition,is_braking,orig_speed,crossing_time,ehmi_time,has_ehmi,ehmi_type,start_time,subj_safety
1,A,0,3,11.17568171658471,3,True,25,0.33243442622952557,-0.44856557377048034,True,SPLB,65.83256557377048,3
1,A,1,5,13.410818059901654,1,False,30,0.4573918918918878,,False,SPLB,95.7376081081081,4
1,A,2,3,13.410818059901654,2,True,30,0.34739189189190256,,False,SPLB,115.8896081081081,4
1,A,3,2,11.17568171658471,2,True,25,4.380434426229527,,False,SPLB,138.3665655737705,4
1,A,4,4,11.17568171658471,3,True,25,0.4424344262295108,0.5744344262295158,True,SPLB,164.9095655737705,3
1,A,5,5,11.17568171658471,2,True,25,0.6954344262295251,,False,SPLB,190.57256557377048,4
1,A,6,3,13.410818059901654,3,True,30,0.27039189189187596,0.13839189189189938,True,SPLB,211.5126081081081,3
1,A,7,4,13.410818059901654,2,True,30,0.40239189189188096,,False,SPLB,231.89560810810812,4
1,A,8,5,15.645954403218596,2,True,35,0.4531871345029117,,False,SPLB,250.2148128654971,3
1,A,9,5,15.645954403218596,1,False,35,0.5521871345029012,,False,SPLB,271.0708128654971,2
1,A,10,2,11.17568171658471,1,False,25,0.2884344262294576,,False,SPLB,293.7415655737705,1
1,A,11,5,11.17568171658471,3,True,25,0.5634344262294917,1.5754344262294921,True,SPLB,328.7875655737705,4
1,A,12,4,15.645954403218596,2,True,35,0.46418713450287896,,False,SPLB,349.6328128654971,3
1,A,13,5,13.410818059901654,2,True,30,0.7653918918919089,,False,SPLB,406.6636081081081,3
1,A,14,2,15.645954403218596,3,True,35,5.3481871345028935,-0.4268128654971406,True,SPLB,426.0718128654971,4
1,A,15,4,15.645954403218596,1,False,35,0.5851871345029167,,False,SPLB,459.3358128654971,2
1,A,16,3,11.17568171658471,1,False,25,,,False,SPLB,482.5015655737705,0
1,A,17,2,13.410818059901654,2,True,30,5.3193918918918826,,False,SPLB,509.0846081081081,3
1,A,18,3,13.410818059901654,1,False,30,,,False,SPLB,536.9036081081081,0
1,A,19,5,11.17568171658471,1,False,25,0.6184344262294417,,False,SPLB,553.1435655737705,3
1,A,20,4,15.645954403218596,0,False,35,0.45318713450296855,,False,SPLB,574.406812865497,2
1,A,21,2,15.645954403218596,1,False,35,,,False,SPLB,597.979812865497,0
1,A,22,3,11.17568171658471,2,True,25,0.3984344262294144,,False,SPLB,611.8285655737706,3
1,A,23,2,11.17568171658471,3,True,25,5.150434426229481,-1.4055655737705592,True,SPLB,636.0615655737705,4
1,A,24,4,11.17568171658471,1,False,25,0.4864344262294935,,False,SPLB,663.3195655737705,2
1,A,25,3,11.17568171658471,0,False,25,,,False,SPLB,687.1455655737705,0
1,A,26,5,13.410818059901654,0,False,30,0.6883918918917971,,False,SPLB,699.9456081081081,3
1,A,27,3,15.645954403218596,3,True,35,0.3761871345028567,0.5741871345029494,True,SPLB,718.3858128654971,3
1,A,28,2,15.645954403218596,2,True,35,4.98518713450278,,False,SPLB,739.4838128654972,4
1,A,29,4,13.410818059901654,0,False,30,0.5783918918917834,,False,SPLB,765.8136081081082,1
1,A,30,4,15.645954403218596,3,True,35,0.5631871345028685,1.5641871345028449,True,SPLB,784.6058128654971,3
1,A,31,4,13.410818059901654,3,True,30,0.490391891891818,1.1393918918918189,True,SPLB,805.9966081081081,3
1,A,32,4,11.17568171658471,2,True,25,0.827434426229388,,False,SPLB,828.2095655737705,2
1,A,33,2,13.410818059901654,1,False,30,0.3143918918918871,,False,SPLB,849.2926081081081,1
1,A,34,3,13.410818059901654,0,False,30,0.34739189189190256,,False,SPLB,870.2476081081081,1
1,A,35,5,15.645954403218596,0,False,35,0.5301871345029667,,False,SPLB,888.0058128654971,2
1,A,36,2,13.410818059901654,0,False,30,,,False,SPLB,913.9946081081082,0
1,A,37,3,15.645954403218596,0,False,35,0.6291871345028994,,False,SPLB,924.272812865497,1
1,A,38,2,11.17568171658471,0,False,25,,,False,SPLB,943.8415655737705,0
1,A,39,5,13.410818059901654,3,True,30,0.49039189189193166,2.1623918918918434,True,SPLB,954.5406081081081,4
1,A,40,3,15.645954403218596,2,True,35,0.4201871345029531,,False,SPLB,973.629812865497,3
1,A,41,5,11.17568171658471,0,False,25,0.35443442622943166,,False,SPLB,994.1995655737705,3
1,A,42,4,13.410818059901654,1,False,30,0.6333918918918471,,False,SPLB,1016.3936081081081,2
1,A,43,3,15.645954403218596,1,False,35,0.3981871345029049,,False,SPLB,1034.525812865497,1
1,A,44,2,15.645954403218596,0,False,35,,,False,SPLB,1051.179812865497,0
1,A,45,4,11.17568171658471,0,False,25,0.3214344262294162,,False,SPLB,1063.1475655737706,3
1,A,46,2,13.410818059901654,3,True,30,2.8443918918919735,-0.8296081081080047,True,SPLB,1085.913608108108,3
1,A,47,5,15.645954403218596,3,True,35,0.541187134502934,2.554187134502854,True,SPLB,1106.938812865497,4
1,B,0,2,13.410818059901654,2,True,30,5.2643918918918935,,False,SPLB,22.906608108108106,3
1,B,1,3,11.17568171658471,1,False,25,,,False,SPLB,69.1985655737705,0
1,B,2,2,13.410818059901654,0,False,30,,,False,SPLB,80.20560810810811,0
1,B,3,4,13.410818059901654,0,False,30,0.40239189189188096,,False,SPLB,91.20560810810811,2
1,B,4,4,11.17568171658471,1,False,25,0.26643442622950886,,False,SPLB,110.72356557377049,2
1,B,5,4,11.17568171658471,2,True,25,0.42043442622951943,,False,SPLB,131.22756557377048,3
1,B,6,4,13.410818059901654,1,False,30,0.5453918918919101,,False,SPLB,150.2316081081081,1
